train/q_halt_accuracy,all.steps,_timestamp,train/steps,train/lr,train/lm_loss,all.accuracy,all.q_halt_loss,train/exact_accuracy,_runtime,train/count,all.q_halt_accuracy,all.lm_loss,all.exact_accuracy,num_params,train/q_halt_loss,train/accuracy,_step
0.0,,1773585227.5569856,0.0,2.7500000000000004e-06,2.4826737037677615,,,0.0,53.921324335,0,,,,,0.006715297698974609,0.0,55
0.0,,1773585249.53622,0.0,7.15e-06,2.182510982648578,,,0.0,75.902533306,0,,,,,0.005754884332418442,0.0,143
0.0,,1773585264.2957084,0.0,1.0100000000000002e-05,2.098451732146786,,,0.0,90.662040407,0,,,,,0.00528941551844279,0.0,202
0.0,,1773585337.0279992,0.0,2.46e-05,1.4464040496590778,,,0.0,163.394690191,0,,,,,0.0014385903875033061,0.0,492
0.0,,1773585343.5462563,0.0,2.5900000000000003e-05,1.4371693856001047,,,0.0,169.912879045,0,,,,,0.0011889978001515071,0.0,518
0.0,,1773585381.731527,0.0,3.35e-05,1.3842957443081707,,,0.0,208.100029932,0,,,,,0.00039307835201422375,0.0,670
0.0,,1773585383.2409241,0.0,3.38e-05,1.3838411767203558,,,0.0,209.607928994,0,,,,,0.00034278320769468945,0.0,676
0.0,,1773585419.7014985,0.0,4.105e-05,1.3411876015642037,,,0.0,246.06904883,0,,,,,0.00012179277837276459,0.0,821
0.0,,1773585446.3516493,0.0,4.635e-05,1.303153051584052,,,0.0,272.719297129,0,,,,,3.785019119580587e-05,0.0,927
0.0,,1773585462.1855192,0.0,4.9500000000000004e-05,1.2839648993528021,,,0.0,288.552276911,0,,,,,1.8756836652755737e-05,0.0,990
0.0,,1773585469.9716363,0.0,5.105000000000001e-05,1.2770867082673372,,,0.0,296.339424867,0,,,,,1.4853974183400473e-05,0.0,1021
0.0,,1773585478.5209832,0.0,5.275000000000001e-05,1.2640780043094337,,,0.0,304.887696754,0,,,,,9.462237358093262e-06,0.0,1055
0.0,,1773585483.0474854,0.0,5.365e-05,1.302576247682607,,,0.0,309.415516675,0,,,,,1.0674198468526205e-05,0.0,1073
0.0,,1773585486.57194,0.0,5.435e-05,1.2502182754399647,,,0.0,312.939712818,0,,,,,5.826354026794434e-06,0.0,1087
0.0,,1773585514.2387474,0.0,5.985e-05,1.226113500678425,,,0.0,340.606140709,0,,,,,1.1411805947621663e-06,0.0,1197
0.0,,1773585538.1230767,0.0,6.46e-05,1.181089923967705,,,0.0,364.491224733,0,,,,,2.086162567138672e-07,0.0,1292
1.0,,1773585571.2773426,16.0,7.12e-05,1.0896474553252684,,,0.0,397.644096849,1,,,,,0.0,0.5194991032282511,1424
