train/q_halt_accuracy,train/steps,train/q_halt_loss,_step,all.exact_accuracy,train/count,_runtime,all.lm_loss,all.q_halt_accuracy,all.steps,_timestamp,train/lm_loss,num_params,all.accuracy,train/accuracy,train/lr,all.q_halt_loss,train/exact_accuracy
0.0,0.0,0.006715297698974609,55,,0,53.699765716,,,,1773927586.849323,2.438630426123357,,,0.0,2.7500000000000004e-06,,0.0
0.0,0.0,0.005908807118733724,143,,0,89.468594219,,,,1773927622.6132517,2.1893658059480825,,,0.0,7.15e-06,,0.0
0.0,0.0,0.0053186143438021345,202,,0,113.713092179,,,,1773927646.851985,2.0695198659090814,,,0.0,1.0100000000000002e-05,,0.0
0.0,0.0,0.001673928772409757,492,,0,234.592268049,,,,1773927767.7287686,1.4367485563260125,,,0.0,2.46e-05,,0.0
0.0,0.0,0.001475985472400983,518,,0,245.450305901,,,,1773927778.5845506,1.4333167317280882,,,0.0,2.5900000000000003e-05,,0.0
0.0,0.0,0.0004043343166510264,670,,0,309.077299324,,,,1773927842.211559,1.376722103572001,,,0.0,3.35e-05,,0.0
0.0,0.0,0.00040728536744912464,676,,0,311.586990521,,,,1773927844.721858,1.390073795865594,,,0.0,3.38e-05,,0.0
0.0,0.0,0.00012611225247383118,821,,0,372.389725698,,,,1773927905.5225568,1.3233069616924757,,,0.0,4.105e-05,,0.0
0.0,0.0,5.0879394014676414e-05,927,,0,416.965247612,,,,1773927950.0975316,1.279671781011384,,,0.0,4.635e-05,,0.0
0.0,0.0,2.9257188240687054e-05,990,,0,443.482344489,,,,1773927976.6133163,1.2605524432437236,,,0.0,4.9500000000000004e-05,,0.0
0.0,0.0,2.4630377689997356e-05,1021,,0,456.524699389,,,,1773927989.657745,1.253632046459213,,,0.0,5.105000000000001e-05,,0.0
0.0,0.0,9.98377799987793e-06,1055,,0,470.786426156,,,,1773928003.919182,1.2407425088582313,,,0.0,5.275000000000001e-05,,0.0
0.0,0.0,7.4518223603566485e-06,1073,,0,478.342633492,,,,1773928011.4757135,1.2663704968223104,,,0.0,5.365e-05,,0.0
0.0,0.0,7.499009370803833e-06,1087,,0,484.223907653,,,,1773928017.3567212,1.2302354427029862,,,0.0,5.435e-05,,0.0
0.0,0.0,2.0998219648996988e-06,1197,,0,530.421630284,,,,1773928063.553628,1.1764202110017086,,,0.0,5.985e-05,,0.0
0.0,0.0,9.80993111928304e-07,1292,,0,570.396649395,,,,1773928103.5286102,1.106442359894653,,,0.0,6.46e-05,,0.0
1.0,16.0,2.7318795522054035e-08,1424,,1,626.025648938,,,,1773928159.157648,1.0507552298579474,,,0.5391589800516764,7.12e-05,,0.0
0.0,0.0,2.483526865641276e-09,1491,,0,654.250979204,,,,1773928187.3822465,1.0470910557527715,,,0.0,7.455000000000001e-05,,0.0
0.0,0.0,0.0,1578,,0,690.992550502,,,,1773928224.1222444,0.9953226105936815,,,0.0,7.89e-05,,0.0
0.0,0.0,0.0,1751,,0,764.068425099,,,,1773928297.198326,0.9440706295644589,,,0.0,8.755e-05,,0.0
0.0,0.0,0.0,1864,,0,811.882034796,,,,1773928345.012421,0.9197282383694466,,,0.0,9.32e-05,,0.0
0.0,0.0,0.0,1867,,0,813.151537055,,,,1773928346.2811072,0.9131009403446396,,,0.0,9.335e-05,,0.0
0.0,0.0,0.0,1967,,0,855.440747448,,,,1773928388.5717769,0.8819383674446301,,,0.0,9.835e-05,,0.0
0.0,0.0,0.0,1993,,0,866.404804894,,,,1773928399.5370796,0.9026361185380014,,,0.0,9.965e-05,,0.0
0.0,0.0,0.0,2070,,0,898.83039948,,,,1773928431.9616847,0.8913827505089515,,,0.0,0.0001,,0.0
0.0,0.0,0.00150039109090964,2212,,0,958.840161694,,,,1773928491.971189,0.8679995220923336,,,0.0,0.0001,,0.0
0.0,0.0,0.008124808470408121,2281,,0,987.954244205,,,,1773928521.0851781,0.8409149250485594,,,0.0,0.0001,,0.0
0.0,0.0,0.014355069647232691,2492,,0,1076.917442658,,,,1773928610.0488858,0.8289121947479895,,,0.0,0.0001,,0.0
1.0,16.0,0.028317570686340332,2526,,1,1091.253508073,,,,1773928624.386055,0.8020705996595864,,,0.5802469253540039,0.0001,,0.0
1.0,16.0,0.01785864184300105,2699,,1,1164.217379118,,,,1773928697.3488226,0.8108929584950975,,,0.6903292338053385,0.0001,,0.0
0.9333333333333333,16.0,0.016160561392704647,2813,,1,1212.416063497,,,,1773928745.545772,0.8007575694175034,,,0.644444465637207,0.0001,,0.06666666666666667
1.0,11.875,0.0008438442212839922,2853,,1,1229.353413904,,,,1773928762.4832423,0.8235669283785282,,,0.7831790447235107,0.0001,,0.375
1.0,16.0,0.0017508392532666524,2891,,1,1245.448434813,,,,1773928778.5780547,0.7961200141233237,,,0.6612654328346252,0.0001,,0.0
1.0,16.0,5.147916575272878e-05,2926,,1,1260.259587139,,,,1773928793.3910024,0.7788292813365348,,,0.6778900406577371,0.0001,,0.0
1.0,16.0,0.009884383529424667,2946,,1,1268.687743337,,,,1773928801.8193521,0.8021769033365836,,,0.66778902574019,0.0001,,0.0
1.0,15.48,0.010737515985965729,3094,,1,1331.189469924,,,,1773928864.3206844,0.7971005775123677,,,0.6533332824707031,0.0001,,0.04
0.9142857142857143,13.257142857142858,0.008113807067275047,3142,,1,1351.485255668,,,,1773928884.6157234,0.7747896507323689,,,0.7576720101492745,0.0001,,0.14285714285714285
0.9841269841269841,15.095238095238095,0.011570215225219727,3605,,1,1546.397896882,,,,1773929079.5286827,0.751284742120235,,,0.7003723628937252,0.0001,,0.06349206349206349
1.0,15.151515151515152,0.0014272108674049377,3628,,1,1556.10135629,,,,1773929089.232408,0.7685855258321678,,,0.6726523890639796,0.0001,,0.06060606060606061
1.0,16.0,0.0008064056746661663,3630,,1,1556.946268165,,,,1773929090.077024,0.7623614935100483,,,0.6834215436662946,0.0001,,0.0
1.0,15.74074074074074,0.0004801983789851268,3639,,1,1560.746663946,,,,1773929093.877196,0.7722077890541666,,,0.6858710536250362,0.0001,,0.018518518518518517
1.0,14.526315789473685,0.0072183261315027876,3663,,1,1570.881015087,,,,1773929104.0109184,0.7585391500787564,,,0.7283950604890522,0.0001,,0.10526315789473684
1.0,15.43661971830986,0.0075751375406980515,3765,,1,1614.012662394,,,,1773929147.1434553,0.7583438149869686,,,0.6871848307864766,0.0001,,0.04225352112676056
1.0,16.0,0.013622621695200602,3826,,1,1639.857487774,,,,1773929172.9872282,0.7339249464474076,,,0.7076474295722114,0.0001,,0.0
0.9864864864864865,15.243243243243244,0.002565085577468077,3860,,1,1654.270236934,,,,1773929187.4003744,0.7444026766279949,,,0.6948615409232475,0.0001,,0.04054054054054054
0.9821428571428571,14.732142857142858,0.018316131085157394,4119,,1,1763.979280848,,,,1773929297.1081686,0.7406634159545087,,,0.7394179616655622,0.0001,,0.125
1.0,16.0,0.010097391903400421,4159,,1,1780.944751717,,,,1773929314.0741642,0.7359453961512067,,,0.6888162949505974,0.0001,,0.0
0.9661016949152542,15.389830508474576,0.027613009015719097,4171,,1,1786.036500841,,,,1773929319.165118,0.7390961833182025,,,0.7273488448838056,0.0001,,0.06779661016949153
0.9767441860465116,15.0,0.020952053368091583,4198,,1,1797.481265232,,,,1773929330.6105855,0.7488698565854824,,,0.707148973331895,0.0001,,0.06976744186046512
1.0,15.485714285714286,0.013352088630199432,4218,,1,1805.955898179,,,,1773929339.0844898,0.7380148466234256,,,0.7146384647914341,0.0001,,0.05714285714285714
0.9838709677419355,15.112903225806452,0.011951295038064321,4295,,1,1838.600020566,,,,1773929371.7291708,0.7377657712570319,,,0.7001195107736895,0.0001,,0.04838709677419355
1.0,16.0,0.010064062972863516,4312,,1,1845.802216905,,,,1773929378.9314919,0.7451117045410891,,,0.6870007234461167,0.0001,,0.0
1.0,14.513513513513514,0.010383622099955877,4373,,1,1871.622803412,,,,1773929404.7520049,0.7462459167966068,,,0.7420754303803315,0.0001,,0.10810810810810811
0.9841269841269841,15.714285714285714,0.003562962015469869,4412,,1,1888.138342639,,,,1773929421.2684135,0.7507761237590286,,,0.6917499360584077,0.0001,,0.06349206349206349
1.0,15.75,0.0009421709304054579,4605,,1,1969.753292712,,,,1773929502.883937,0.750884099889655,,,0.672398567199707,0.0001,,0.017857142857142856
0.9866666666666667,15.813333333333333,0.013383484135071436,4685,,1,2003.580520579,,,,1773929536.7111883,0.7551647220104721,,,0.6676543172200521,0.0001,,0.02666666666666667
1.0,15.416666666666666,0.01229199767112732,4742,,1,2027.664025549,,,,1773929560.794235,0.7397130676062881,,,0.7114197413126627,0.0001,,0.08333333333333333
1.0,15.096774193548388,0.0015230647598703702,4757,,1,2034.006412292,,,,1773929567.1373622,0.7534754935094887,,,0.7029071930916079,0.0001,,0.0967741935483871
1.0,15.829787234042554,0.0006396627286449075,4962,,1,2120.833893992,,,,1773929653.9632607,0.7525994641525396,,,0.6897820006025598,0.0001,,0.02127659574468085
0.9803921568627451,15.137254901960784,0.0028202335039774575,5017,,1,2144.111478106,,,,1773929677.2418327,0.758001262405337,,,0.689905652812883,0.0001,,0.0392156862745098
1.0,14.866666666666667,0.015348794559637705,5201,,1,2221.9062051,,,,1773929755.038383,0.7536091406677464,,,0.7264746771918402,0.0001,,0.1111111111111111
1.0,15.72463768115942,0.015261580546696981,5224,,1,2231.589719546,,,,1773929764.722242,0.7413932382200872,,,0.6852746493574502,0.0001,,0.028985507246376812
1.0,15.1,0.005581296980381012,5235,,1,2236.224965529,,,,1773929769.3569446,0.7557371915535146,,,0.6941357612609863,0.0001,,0.1
1.0,14.555555555555555,0.002195325835297505,5285,,1,2257.457992656,,,,1773929790.586113,0.7450744441171825,,,0.7247370967158565,0.0001,,0.12962962962962962
1.0,14.983333333333333,0.005229223519563675,5328,,1,2275.663695122,,,,1773929808.7924802,0.756553776569247,,,0.6932098388671875,0.0001,,0.11666666666666667
1.0,15.53191489361702,0.018573914964993794,5383,,1,2298.947702629,,,,1773929832.078108,0.7558190161052165,,,0.698450210246634,0.0001,,0.0425531914893617
1.0,15.62962962962963,0.0052666241923968,5393,,1,2303.173150556,,,,1773929836.3030136,0.7562886408483972,,,0.6819844422517,0.0001,,0.037037037037037035
1.0,16.0,0.0009602089412510395,5461,,1,2331.83355746,,,,1773929864.9650521,0.7605593278277513,,,0.6573138959480055,0.0001,,0.0
1.0,14.117647058823529,0.003715956894059976,5624,,1,2400.6349816,,,,1773929933.7665014,0.7567827981319488,,,0.7286370969286152,0.0001,,0.21568627450980393
1.0,14.121951219512194,0.012406869481007258,5662,,1,2416.56293671,,,,1773929949.698446,0.7426412333004558,,,0.7097260079732756,0.0001,,0.14634146341463414
1.0,14.913793103448276,0.020285777747631073,5772,,1,2462.273736571,,,,1773929995.4144065,0.7406566703507131,,,0.7264793659078663,0.0001,,0.13793103448275862
1.0,14.55813953488372,0.010023423780997595,5815,,1,2480.057817058,,,,1773930013.196542,0.7539925546310439,,,0.7226528788721839,0.0001,,0.16279069767441862
1.0,14.704545454545455,0.014445934444665909,5847,,1,2493.298129011,,,,1773930026.4364727,0.7561791908350282,,,0.6969697258689187,0.0001,,0.09090909090909091
1.0,14.75925925925926,0.019180603325366974,5870,,1,2502.852106876,,,,1773930035.989591,0.7294649419160487,,,0.7368541293674045,0.0001,,0.12962962962962962
1.0,15.365079365079366,0.0028325306872526803,5930,,1,2527.891506396,,,,1773930061.0269444,0.7606836550206513,,,0.7001763601151724,0.0001,,0.09523809523809523
1.0,15.338461538461539,0.010354924947023392,6269,,1,2670.158745109,,,,1773930203.289577,0.739270328619396,,,0.6892687284029447,0.0001,,0.07692307692307693
1.0,14.660377358490566,0.0028820764273405075,6512,,1,5002.168830702,,,,1773932535.299159,0.7482622257639853,,,0.6981132075471698,0.0001,,0.1320754716981132
1.0,14.631578947368421,0.013633400201797485,6706,,1,5084.302497205,,,,1773932617.4334953,0.7387471709458248,,,0.7197314479894805,0.0001,,0.19298245614035087
0.9850746268656716,13.492537313432836,0.005867939442396164,6707,,1,5084.726399337,,,,1773932617.8554912,0.7406225104787886,,,0.7451630777387477,0.0001,,0.22388059701492538
1.0,12.4,0.003646206110715866,6750,,1,5102.956779769,,,,1773932636.0854943,0.7508733389132679,,,0.7580246925354004,0.0001,,0.3
0.9622641509433962,12.622641509433961,0.010570084055264791,6756,,1,5105.499762449,,,,1773932638.6291223,0.7389955572734862,,,0.7738178181198409,0.0001,,0.2830188679245283
1.0,14.43859649122807,0.008257793262600899,6837,,1,5139.834069626,,,,1773932672.962719,0.7527542526004138,,,0.7351094296104029,0.0001,,0.17543859649122806
1.0,14.73913043478261,0.0007962378828475872,6847,,1,5144.078998215,,,,1773932677.2068312,0.750783226166317,,,0.7096081609311311,0.0001,,0.13043478260869565
0.9824561403508771,14.421052631578947,0.005562065169215202,6876,,1,5156.409995643,,,,1773932689.5374708,0.7560436100259844,,,0.7026207907158032,0.0001,,0.14035087719298245
0.9811320754716981,14.830188679245284,0.007955590883890787,6928,,1,5178.533897101,,,,1773932711.6604085,0.7382754649333195,,,0.6999767231491377,0.0001,,0.07547169811320754
0.9833333333333333,14.833333333333334,0.0037801538904507956,6955,,1,5190.001200418,,,,1773932723.1297061,0.7511163649735387,,,0.7037036895751954,0.0001,,0.08333333333333333
1.0,14.88888888888889,0.03524457414944967,6979,,1,5200.139724975,,,,1773932733.272379,0.7400518401748175,,,0.7111111111111111,0.0001,,0.13333333333333333
1.0,13.865671641791044,0.003660083127518495,7001,,1,5209.390971416,,,,1773932742.5237408,0.7431306548252667,,,0.7435047092722423,0.0001,,0.22388059701492538
0.9836065573770492,13.245901639344263,0.01731000343958537,7020,,1,5217.385416593,,,,1773932750.5179307,0.744117084949667,,,0.7383120802582287,0.0001,,0.2459016393442623
1.0,14.928571428571429,0.00648269181450208,7079,,1,5242.233576467,,,,1773932775.3656478,0.7367659063726218,,,0.7174603053501674,0.0001,,0.14285714285714285
0.9655172413793104,14.293103448275861,0.006871676072478294,7159,,1,5276.007253367,,,,1773932809.137634,0.7523994176200279,,,0.7094508203966864,0.0001,,0.1206896551724138
0.9846153846153847,13.707692307692307,0.017550888160864513,7165,,1,5278.545741445,,,,1773932811.6761336,0.7448024008230195,,,0.7456790043757512,0.0001,,0.23076923076923078
1.0,13.153846153846153,0.0037489477545022964,7190,,1,5289.107330541,,,,1773932822.237941,0.741784961570053,,,0.758309584397536,0.0001,,0.23076923076923078
1.0,14.083333333333334,0.00435789239903291,7259,,1,5318.221274407,,,,1773932851.3527672,0.7344928660322885,,,0.7442386627197266,0.0001,,0.23333333333333334
0.9298245614035088,13.350877192982455,0.022441501418749493,7485,,1,5413.797072874,,,,1773932946.9285388,0.7454894517630034,,,0.7496210064804345,0.0001,,0.19298245614035087
1.0,14.115384615384615,0.013995307187239328,7559,,1,5445.08872133,,,,1773932978.2176423,0.7320849716823057,,,0.7402659196120042,0.0001,,0.19230769230769232
0.9846153846153847,14.184615384615384,0.004784079889456431,7713,,1,5510.349318033,,,,1773933043.478185,0.740550560898866,,,0.752896470289964,0.0001,,0.18461538461538463
0.9814814814814815,13.74074074074074,0.005448216572403908,7719,,1,5512.891702095,,,,1773933046.0209033,0.7450077944312073,,,0.7407407407407407,0.0001,,0.2222222222222222
1.0,13.337837837837839,0.008440427482128143,7955,,1,5612.724050451,,,,1773933145.8561409,0.7234399394086256,,,0.7677677773140572,0.0001,,0.2702702702702703
0.9761904761904762,14.0,0.007928256566325823,7999,,1,5631.147067073,,,,1773933164.283037,0.7406700331485925,,,0.7425044377644857,0.0001,,0.21428571428571427
0.9811320754716981,13.169811320754716,0.005011487752199173,8213,,1,5720.771928285,,,,1773933253.9030092,0.7391262204100736,,,0.7617051466456,0.0001,,0.24528301886792453
0.9622641509433962,14.11320754716981,0.00964696208635966,8243,,1,5733.439480487,,,,1773933266.572603,0.7403829880791092,,,0.7325879222941849,0.0001,,0.1509433962264151
0.98,13.12,0.006949833283821742,8294,,1,5754.876517439,,,,1773933288.0095935,0.7367137219391116,,,0.7533333587646485,0.0001,,0.26
1.0,14.32,0.005745655546585719,8342,,1,5775.116553365,,,,1773933308.2473104,0.7227373317495712,,,0.7190122985839844,0.0001,,0.16
1.0,13.571428571428571,0.0019866914177934327,8440,,1,5816.409262957,,,,1773933349.541084,0.7443811301161095,,,0.7208364837023676,0.0001,,0.1836734693877551
1.0,14.59375,0.006791342049837112,8453,,1,5821.889726015,,,,1773933355.021204,0.7266688006663574,,,0.7391975522041321,0.0001,,0.1875
1.0,13.666666666666666,0.0031551836679379144,8551,,1,5863.258745221,,,,1773933396.3887415,0.7183537910180564,,,0.7303444042540433,0.0001,,0.19298245614035087
0.9523809523809523,12.571428571428571,0.012281309813261032,8691,,1,5922.511938608,,,,1773933455.6424162,0.7346149313976212,,,0.7510287875220889,0.0001,,0.2619047619047619
1.0,13.616666666666667,0.00961782472829024,8729,,1,5938.611852164,,,,1773933471.7409067,0.7189268990257842,,,0.7530864715576172,0.0001,,0.21666666666666667
0.9666666666666667,13.2,0.011126530667146048,8879,,1,6002.22244679,,,,1773933535.3523688,0.7190412392307457,,,0.7969135920206706,0.0001,,0.3333333333333333
0.975,13.4,0.013187179962793985,8925,,1,6021.720653368,,,,1773933554.8494253,0.7220580268991058,,,0.7413579940795898,0.0001,,0.2
1.0,11.644444444444444,0.022489110628763836,9054,,1,6076.491620745,,,,1773933609.62052,0.708456302770473,,,0.8293552822536893,0.0001,,0.4444444444444444
1.0,13.125,0.004693944628039996,9070,,1,6083.272760088,,,,1773933616.401987,0.7294470009041009,,,0.7780350049336752,0.0001,,0.2708333333333333
0.9821428571428571,12.785714285714286,0.012803815305233002,9193,,1,6135.426769898,,,,1773933668.5560343,0.7328240208993906,,,0.7643297740391323,0.0001,,0.26785714285714285
1.0,14.181818181818182,0.0021511542921264968,9249,,1,6159.192104583,,,,1773933692.3204496,0.7156364768744812,,,0.7330714717055812,0.0001,,0.18181818181818182
0.9803921568627451,13.333333333333334,0.004920555899540584,9280,,1,6172.358583878,,,,1773933705.48634,0.7181985473822233,,,0.7489711537080652,0.0001,,0.19607843137254902
0.975609756097561,12.073170731707316,0.0037081558257341385,9335,,1,6195.715998471,,,,1773933728.8442729,0.7197559874954945,,,0.794640145650724,0.0001,,0.3170731707317073
0.9538461538461539,12.76923076923077,0.013413225611050924,9339,,1,6197.41305714,,,,1773933730.542295,0.7269111812668,,,0.7675213740422175,0.0001,,0.3076923076923077
1.0,12.365384615384615,0.00460480743398269,9420,,1,6231.792067549,,,,1773933764.919626,0.718073030076695,,,0.7886989300067608,0.0001,,0.34615384615384615
1.0,10.833333333333334,0.018113141258557636,9509,,1,6269.582592724,,,,1773933802.7115362,0.6987351713475559,,,0.8350479867723253,0.0001,,0.4722222222222222
1.0,14.478260869565217,0.015423193573951721,9600,,1,6308.09187454,,,,1773933841.222827,0.749432875936089,,,0.7058508499808933,0.0001,,0.13043478260869565
0.9642857142857143,13.089285714285714,0.012676586707433065,9658,,1,6332.60079227,,,,1773933865.7309077,0.7133756018575409,,,0.7702822004045758,0.0001,,0.2857142857142857
0.9814814814814815,13.37037037037037,0.0076781753450632095,9662,,1,6334.291434702,,,,1773933867.4212022,0.7073654591761347,,,0.7530863726580584,0.0001,,0.2037037037037037
1.0,13.648148148148149,0.011675170312325159,9670,,1,6337.676559936,,,,1773933870.805768,0.6985115302579902,,,0.7556012471516927,0.0001,,0.2222222222222222
0.9651162790697675,13.348837209302326,0.011933188885450363,9728,,1,6362.224471134,,,,1773933895.3539913,0.7130966789693464,,,0.753373523091161,0.0001,,0.2558139534883721
0.9178082191780822,12.287671232876713,0.03948335349559784,9793,,1,6389.782192682,,,,1773933922.911816,0.74161122848358,,,0.7656012234622485,0.0001,,0.3287671232876712
0.9714285714285714,11.528571428571428,0.010968466599782309,9849,,1,6413.586698842,,,,1773933946.7154927,0.7031246624510882,,,0.8142857142857143,0.0001,,0.4142857142857143
0.9264705882352942,11.544117647058824,0.027157843112945557,9885,,1,6428.853967225,,,,1773933961.9827864,0.717002686842351,,,0.7848584231208352,0.0001,,0.35294117647058826
1.0,13.517241379310345,0.010500849535067877,9949,,1,6456.031679183,,,,1773933989.1604366,0.7136016014435639,,,0.7828863735856681,0.0001,,0.29310344827586204
1.0,12.477272727272727,0.012614719569683075,9962,,1,6461.542696819,,,,1773933994.6709957,0.7186618759120486,,,0.7769360108809038,0.0001,,0.3181818181818182
0.9615384615384616,11.596153846153847,0.010033472751577696,10044,,1,6496.256154333,,,,1773934029.3854673,0.7316180182929098,,,0.8200379885160006,0.0001,,0.40384615384615385
1.0,14.43661971830986,0.0013134274631738663,10113,,1,6525.533299999,,,,1773934058.6628177,0.7035522642858836,,,0.7473483018472161,0.0001,,0.15492957746478872
0.9672131147540983,12.967213114754099,0.01247730478644371,10218,,1,6570.063070399,,,,1773934103.19082,0.7301654153382847,,,0.7878972037893827,0.0001,,0.3114754098360656
1.0,13.428571428571429,0.014907778551181158,10359,,1,6629.913357448,,,,1773934163.0417037,0.6982317936835493,,,0.7726827348981585,0.0001,,0.23809523809523808
0.9827586206896551,12.948275862068966,0.01530965914328893,10447,,1,6667.299945002,,,,1773934200.427281,0.7360507651805571,,,0.7539378199084051,0.0001,,0.25862068965517243
